model_id,auc_roc,brier_score,map_100,map_500,map_1000,ndcg_100,ndcg_500,ndcg_1000,optimal_threshold,precision_at_optimal,recall_at_optimal,f1_at_optimal,test_set_size,positive_rate
M1,0.8511275486612213,0.059792473912239075,0.9575968537374587,0.8264458294251785,0.7258770066767063,0.9678815258345258,0.6720517974788475,0.552150770486597,0.55,0.28712023962344885,0.38496844520940904,0.328921568627451,95098,0.03665692233275148
M2,0.9960503161850278,0.036074619740247726,0.1,0.030171665272511795,0.030171665272511795,0.08747171410140814,0.23899342979682459,0.23899342979682459,0.8,0.09090909090909091,0.16666666666666666,0.11764705882352941,95098,6.309280952280805e-05
M3,0.7046918601420993,0.04743741825222969,0.0,0.00991498810270036,0.008534918357030357,0.0,0.029784403399792908,0.04555799896541366,0.6,0.011764705882352941,0.03773584905660377,0.017937219730941704,94802,0.0005590599354443999
M4,0.8641242314920256,0.024306075647473335,0.7589950514898349,0.5977526151593942,0.5217382706783398,0.6193132550174621,0.4298794107169084,0.48045383499046607,0.85,0.4147727272727273,0.26838235294117646,0.32589285714285715,94802,0.0028691377819033354
